Código da Engenharia;Faturamento Médio;Quantidade em Estoque;Ordem de Fabricação Aberto;Comprometido;Disponível;Estoque Mínimo;Balanço;Prazo Produção;Máscara;Unidade de Medida;Peso Unitário;Peso Total;Lote!Econômico;Lote de!Produção
435;0;6.548,00;4.800,00;0;11.348,00;0;11.348,00;;1.05.04.12;kg;1;11,348;0;600
436;0;10;0;1;9;45;-36;;1.08.99.20;kg;1;36;0;12,6
438;0;3.854,50;9.680,00;0;13.534,50;0;13.534,50;;1.10.02.07;kg;1;13,534;0;0
439;0;13,8;0;0;13,8;45;-31,2;;1.08.99.21;kg;1;31;0;12,6
440;0;2.100,00;4.800,00;1.190,00;5.710,00;0;5.710,00;;1.05.12.11;kg;1;5,71;0;0
441;0;0;0;0;0;0;0;;1.01.02.30;kg;1;0;0;300
442;0;0;0;0;0;0;0;;2.01.16.07;kg;1,03;0;0;0
443;0;0;0;0;0;0;0;;1.01.25.35;kg;1;0;0;0
445;0;0;0;0;0;0;0;;2.01.16.08;kg;1,03;0;0;0
446;0;944;6.000,00;1.940,00;5.004,00;0;5.004,00;;1.05.04.23;kg;1;5,004;0;0
447;0;12,2;0;0;12,2;45;-32,8;;1.08.99.02;kg;1;32;0;12,6
449;0;0;0;0;0;0;0;;2.01.16.09;kg;1,03;0;0;0
450;0;3.528,00;2.436,00;1.022,00;4.942,00;0;4.942,00;;1.19.14.01;kg;1;4,942;0;610
451;0;19,7;0;0;19,7;0;19,7;;1.08.99.31;kg;1;19;0;0
452;0;657,3;0;0;657,3;0;657,3;;1.08.02.35;kg;1;657;0;0
453;0;26,8;0;2;24,8;0;24,8;;1.04.99.41;kg;1;24;0;0
454;0;15,9;0;1;14,9;210;-195,1;;1.09.99.02;kg;1;195;0;14
455;0;10;400;14;396;0;396;;1.04.02.47;kg;1;396;0;0
458;0;11,5;0;0;11,5;0;11,5;;1.14.99.05;kg;1;11;0;20
459;0;1.475,00;900;425;1.950,00;0;1.950,00;;1.04.25.48;kg;1;1,95;0;0
460;0;0;0;0;0;0;0;;1.14.99.02;kg;1;0;0;0
461;0;0;0;0;0;0;0;;1.14.99.03;kg;1;0;0;0
462;0;0;0;0;0;0;0;;1.14.99.04;kg;1;0;0;0
465;0;12,6;0;0;12,6;0;12,6;;1.19.99.01;kg;1;12;0;14
466;0;10,8;0;0;10,8;0;10,8;;1.19.99.02;kg;1;10;0;14
467;0;0;0;0;0;0;0;;1.03.99.06;kg;1;0;0;10
468;0;15,2;0;0;15,2;0;15,2;;1.09.99.14;kg;1;15;0;0
469;0;29,8;0;0;29,8;0;29,8;;1.09.99.15;kg;1;29;0;0
470;0;14;0;0;14;0;14;;1.09.99.16;kg;1;14;0;0
471;0;19,6;0;0;19,6;25;-5,4;;1.10.99.01;kg;1;5;0;15
472;0;9,2;0;0;9,2;25;-15,8;;1.10.99.02;kg;1;15;0;15
473;0;8,6;0;0;8,6;25;-16,4;;1.10.99.03;kg;1;16;0;15
474;0;12,6;0;0;12,6;25;-12,4;;1.10.99.04;kg;1;12;0;15
475;0;9,6;0;0;9,6;25;-15,4;;1.10.99.05;kg;1;15;0;15
476;0;16;0;0;16;25;-9;;1.10.99.06;kg;1;9;0;15
477;0;1.820,00;4.536,00;0;6.356,00;0;6.356,00;;1.19.14.02;kg;1;6,356;0;610
478;0;0;0;0;0;0;0;;2.02.01.26;um;1,03;0;0;0
479;0;0;0;0;0;50;-50;;1.08.02.22;kg;1;50;0;121,6
480;0;865;0;5;860;200;660;;1.14.02.05;kg;1;660;0;300
482;0;3.360,00;4.818,00;2.730,00;5.448,00;0;5.448,00;;1.09.12.17;kg;1;5,448;0;0
483;0;0;0;0;0;0;0;;2.01.11.07;kg;1,03;0;0;0
484;0;2.050,00;900,3;1.425,00;1.525,30;0;1.525,30;;1.01.25.32;kg;1;1,525;0;0
485;0;7,8;0;2;5,8;0;5,8;;1.05.99.22;kg;1;5;0;0
486;0;96,6;0;37,8;58,8;0;58,8;;1.05.02.16;kg;1;58;0;0
487;0;48;1.800,00;484;1.364,00;0;1.364,00;;1.05.04.22;kg;1;1,364;0;0
488;0;0;0;0;0;0;0;;1.07.03.03;kg;1;0;0;0
489;0;0;0;0;0;0;0;;2.01.11.38;um;0;0;0;0
493;0;0;0;0;0;0;0;;2.02.05.76;um;0;0;0;0
497;0;750;502;25;1.227,00;0;1.227,00;;1.01.25.27;kg;1;1,227;0;500
502;0;2.168,00;4.095,30;1.908,00;4.355,30;9.600,00;-5.244,70;;1.06.02.01;kg;1;5,244;0;512
504;0;0;0;0;0;0;0;;1.11.12.12;kg;1;0;0;0
505;0;0;0;0;0;0;0;;1.11.12.11;kg;1;0;0;0
508;0;268,8;0;16,8;252;120;132;;1.08.02.20;kg;1;132;0;252
509;0;23,7;0;3;20,7;111;-90,3;;1.06.99.01;kg;1;90;0;50
513;0;0;0;0;0;50;-50;;1.01.02.13;kg;1;50;0;0
514;0;0;0;0;0;50;-50;;1.01.02.14;kg;1;50;0;0
515;0;2.625,00;20.410,50;9.960,00;13.075,50;0;13.075,50;;1.06.15.01;kg;1;13,075;0;600
516;0;675;901;200;1.376,00;0;1.376,00;;1.01.25.28;kg;1;1,376;0;300
519;0;0;0;0;0;0;0;;1.16.04.06;kg;1;0;0;0
520;0;8.800,00;6.000,00;0;14.800,00;0;14.800,00;;1.11.05.05;kg;1;14,8;0;0
521;0;3.460,00;4.800,00;0;8.260,00;0;8.260,00;;1.11.05.06;kg;1;8,26;0;600
522;0;180;1.600,00;280;1.500,00;1.200,00;300;;1.04.05.04;kg;1;300;0;300
523;0;395;600;130;865;600;265;;1.04.05.15;kg;1;265;0;300
524;0;260;150;95;315;550;-235;;1.04.05.28;kg;1;235;0;300
525;0;655;400;40;1.015,00;600;415;;1.04.05.19;kg;1;415;0;400
527;0;1.620,00;4.784,00;1.108,00;5.296,00;0;5.296,00;;1.05.04.09;kg;1;5,296;0;0
531;0;15,8;0;0;15,8;0;15,8;;1.05.99.11;kg;1,03;15,45;0;40
536;0;0;0;0;0;0;0;;2.01.06.09;kg;1;0;0;0
538;0;0;0;0;0;0;0;;1.01.25.33;kg;1;0;0;0
539;0;2.418,00;6.045,00;0;8.463,00;0;8.463,00;;1.19.01.02;kg;1;8,463;0;0
540;0;175;0;0;175;0;175;;1.08.04.13;kg;1;175;0;400
548;0;4.410,00;8.400,00;0;12.810,00;0;12.810,00;;1.05.12.16;kg;1;12,81;0;600
549;0;210;0;0;210;0;210;;1.16.04.04;kg;1;210;0;400
550;0;4.492,00;21.600,00;1.260,00;24.832,00;0;24.832,00;;1.05.12.22;kg;1;24,832;0;0
551;0;200;1.200,00;55;1.345,00;400;945;;1.04.05.30;kg;1;945;0;300
552;0;215;1.700,00;115;1.800,00;700;1.100,00;;1.04.05.32;kg;1;1,1;0;400
553;0;225;600;150;675;0;675;;1.04.25.45;kg;0,001;0,675;0;125
554;0;2.392,00;7.200,00;6.520,00;3.072,00;0;3.072,00;;1.05.03.02;kg;1;3,072;0;0
556;0;3.800,00;19.810,50;9.025,00;14.585,50;0;14.585,50;;1.01.25.26;kg;1;14,585;0;500
557;0;305;1.200,00;255;1.250,00;900;350;;1.04.05.24;kg;1;350;0;400
559;0;0;0;0;0;0;0;;2.01.02.40;kg;1,03;0;0;0
561;0;22,3;0;0;22,3;0;22,3;;1.01.99.27;kg;1;22;0;20
562;0;6.400,00;9.006,50;2.425,00;12.981,50;0;12.981,50;;1.01.25.29;kg;1;12,981;0;500
563;0;175;600;75;700;300;400;;1.04.05.01;kg;1;400;0;120
564;0;284;3.150,00;1.880,00;1.554,00;0;1.554,00;;1.05.03.03;kg;1;1,554;0;0
565;0;4.074,00;0;140;3.934,00;0;3.934,00;;1.11.04.04;kg;1;3,934;0;1.200,00
566;0;5.404,00;0;420;4.984,00;0;4.984,00;;1.11.04.05;kg;1;4,984;0;1.200,00
567;0;0;0;0;0;0;0;;2.01.02.03;kg;1,03;0;0;0
568;0;3.094,00;0;210;2.884,00;0;2.884,00;;1.11.04.06;kg;1;2,884;0;600
569;0;80;450;5;525;50;475;;1.04.05.18;kg;1;475;0;120
570;0;530;300;205;625;900;-275;;1.04.05.13;kg;1;275;0;400
571;0;0;0;0;0;0;0;;1.04.25.46;kg;1;0;0;125
572;0;0;3.600,00;1.760,00;1.840,00;0;1.840,00;;1.05.03.04;kg;1;1,84;0;0
573;0;0;0;0;0;0;0;;2.01.11.12;kg;0;0;0;0
574;0;24,5;0;0;24,5;0;24,5;;1.01.99.30;kg;1;24;0;20
575;0;967,5;0;10;957,5;0;957,5;;1.01.02.39;kg;1;957;0;300
576;0;1.192,00;3.000,00;2.160,00;2.032,00;0;2.032,00;;1.05.03.05;kg;1;2,032;0;0
577;0;1.004,00;2.996,00;1.200,00;2.800,00;0;2.800,00;;1.11.05.07;kg;1;2,8;0;0
578;0;0;5.403,50;1.950,00;3.453,50;0;3.453,50;;1.01.25.30;kg;1;3,453;0;500
580;0;564;7.200,00;2.640,00;5.124,00;0;5.124,00;;1.11.05.08;kg;1;5,124;0;0
581;0;0;6.000,00;1.304,00;4.696,00;0;4.696,00;;1.11.05.09;kg;1;4,696;0;0
582;0;740;8.392,00;5.000,00;4.132,00;0;4.132,00;;1.05.03.06;kg;1;4,132;0;0
583;0;0;2.400,00;2.400,00;0;0;0;;1.05.03.01;kg;1;0;0;0
584;0;44;300;142;202;80;122;;1.04.02.06;kg;1;122;0;120
585;0;0;0;16;-16;0;-16;;1.05.03.07;kg;1;16;0;0
586;0;2.144,00;3.026,00;2.360,00;2.810,00;0;2.810,00;;1.09.12.18;kg;1;2,81;0;0
587;0;14,34;0;0;14,34;0;14,34;;1.13.99.13;kg;1;14;0;19,2
588;0;1.252,80;0;208,8;1.044,00;0;1.044,00;;1.13.02.14;kg;1;1,044;0;307,2
589;0;806;4.543,50;1.417,00;3.932,50;1.400,00;2.532,50;;1.02.02.01;kg;1;2,532;0;312
591;0;175;0;0;175;0;175;;1.04.25.50;kg;1;175;0;125
592;0;336;1.155,00;600;891;0;891;;1.09.12.19;kg;1;891;0;0
593;0;3.976,00;12.194,00;4.900,00;11.270,00;0;11.270,00;;1.09.12.14;kg;1;11,27;0;0
594;0;7,4;0;0;7,4;65;-57,6;;1.08.99.07;kg;1;57;0;12,6
595;0;3.318,00;2.426,00;70;5.674,00;0;5.674,00;;1.09.12.15;kg;1;5,674;0;610
598;0;0;0;0;0;0;0;;1.01.25.19;kg;1,03;0;0;0
600;0;0;0;0;0;0;0;;1.08.04.14;kg;1;0;0;0
601;0;300;0;0;300;0;300;;1.01.25.34;kg;1;300;0;0
603;0;100;900,5;175;825,5;0;825,5;;1.01.25.31;kg;1;825;0;0
605;0;0;0;0;0;0;0;;1.04.25.49;kg;0;0;0;0
610;0;248,8;0;0;248,8;0;248,8;;1.23.99.03;kg;1;248;0;0
611;0;300;0;0;300;0;300;;1.23.50.01;kg;1;300;0;0
612;0;290;0;0;290;0;290;;1.23.50.02;kg;1;290;0;0
613;0;240;0;0;240;0;240;;1.23.50.03;kg;1;240;0;0
614;0;225;0;0;225;0;225;;1.23.50.04;kg;1;225;0;0
615;0;250;0;0;250;0;250;;1.23.50.05;kg;1;250;0;0
616;0;270;0;0;270;0;270;;1.23.50.06;kg;1;270;0;0
617;0;16;1.200,00;0;1.216,00;0;1.216,00;;1.23.41.01;kg;1;1,216;0;0
618;0;1.498,00;1.196,00;2.212,00;482;0;482;;1.23.41.02;kg;1;482;0;0
622;0;6.930,00;10.792,00;2.548,00;15.174,00;0;15.174,00;;1.11.12.05;kg;1;15,174;0;0
623;0;580;600;0;1.180,00;0;1.180,00;;1.23.41.04;kg;1;1,18;0;0
624;0;2.044,00;1.800,00;28;3.816,00;0;3.816,00;;1.23.41.05;kg;1;3,816;0;0
626;0;512;1.200,00;0;1.712,00;0;1.712,00;;1.23.41.17;kg;1;1,712;0;0
627;0;1.848,00;3.600,00;28;5.420,00;0;5.420,00;;1.23.41.06;kg;1;5,42;0;0
631;0;8.834,00;0;8.414,00;420;0;420;;1.23.41.07;kg;1;420;0;0
633;0;92;1.200,00;0;1.292,00;0;1.292,00;;1.23.41.08;kg;1;1,292;0;0
634;0;1.188,00;1.196,00;0;2.384,00;0;2.384,00;;1.23.41.09;kg;1;2,384;0;0
635;0;1.470,00;1.198,00;0;2.668,00;0;2.668,00;;1.23.41.10;kg;1;2,668;0;0
636;0;848;1.200,00;0;2.048,00;0;2.048,00;;1.23.41.11;kg;1;2,048;0;0
638;0;182;1.200,00;14;1.368,00;0;1.368,00;;1.23.41.12;kg;1;1,368;0;0
639;0;164;1.800,00;0;1.964,00;0;1.964,00;;1.23.41.13;kg;1;1,964;0;0
640;0;1.750,00;900;14;2.636,00;0;2.636,00;;1.23.41.14;kg;1;2,636;0;0
641;0;588;600;0;1.188,00;0;1.188,00;;1.23.41.15;kg;1;1,188;0;0
642;0;98;600;14;684;0;684;;1.23.41.16;kg;1;684;0;0
643;0;1.442,00;300;0;1.742,00;0;1.742,00;;1.23.40.07;kg;1;1,742;0;0
644;0;292;0;0;292;0;292;;1.23.40.08;kg;1;292;0;0
645;0;910;1.800,00;0;2.710,00;0;2.710,00;;1.23.40.09;kg;1;2,71;0;0
646;0;296;0;0;296;0;296;;1.23.40.10;kg;1;296;0;0
647;0;0;0;0;0;0;0;;1.04.05.38;kg;1;0;0;5
649;0;368;0;40;328;0;328;;1.11.05.13;kg;1;328;0;0
650;0;364;0;0;364;0;364;;1.08.04.15;kg;1;364;0;0
653;0;6;0;2;4;110;-106;;1.04.99.24;kg;1;106;0;12
659;0;216,3;0;4,2;212,1;240;-27,9;;1.08.02.21;kg;1;27;0;121,8
661;0;0;0;0;0;0;0;;2.02.05.52;kg;0;0;0;0
662;0;3.248,00;0;0;3.248,00;0;3.248,00;;1.23.40.01;kg;1;3,248;0;0
663;0;882;2.408,00;14;3.276,00;0;3.276,00;;1.23.40.02;kg;1;3,276;0;0
664;0;1.232,00;0;0;1.232,00;0;1.232,00;;1.23.40.03;kg;1;1,232;0;0
665;0;344;0;0;344;0;344;;1.23.40.04;kg;1;344;0;0
666;0;344;0;0;344;0;344;;1.23.40.05;kg;1;344;0;0
667;0;340;0;0;340;0;340;;1.23.40.06;kg;1;340;0;0
668;0;230;0;0;230;0;230;;1.23.99.01;kg;1;230;0;0
669;0;255,2;0;0;255,2;0;255,2;;1.23.99.02;kg;1;255;0;0
671;0;46,2;302,4;42;306,6;120;186,6;;1.08.02.11;kg;1;186;0;121,8
673;0;1.325,00;1.600,00;575;2.350,00;1.500,00;850;;1.04.05.25;kg;1;850;0;400
678;0;25;800;30;795;200;595;;1.04.05.07;kg;1;595;0;120
682;0;8,6;0;0;8,6;0;8,6;;1.08.99.25;kg;1;8;0;12,6
684;0;155;400;60;495;150;345;;1.04.05.17;kg;1;345;0;120
685;0;5;500;85;420;300;120;;1.04.05.11;kg;1;120;0;300
700;0;0;0;0;0;0;0;;1.22.99.21;UN;0,23;0;0;0
702;0;130;150;75;205;400;-195;;1.04.05.27;kg;1;195;0;120
703;0;155;150;105;200;120;80;;1.04.05.08;kg;1;80;0;120
704;0;0;0;0;0;0;0;;1.07.03.04;kg;1;0;0;0
705;0;0;0;0;0;0;0;;1.03.25.02;kg;1;0;0;0
706;0;9,5;0;0;9,5;0;9,5;;1.03.99.02;kg;1;9;0;20
707;0;120;1.000,00;60;1.060,00;400;660;;1.04.05.09;kg;1;660;0;400
709;0;205;1.000,00;70;1.135,00;200;935;;1.04.05.37;kg;1;935;0;120
710;0;130;600;155;575;700;-125;;1.04.05.12;kg;1;125;0;300
711;0;0;0;0;0;50;-50;;1.04.05.06;kg;1;50;0;120
712;0;115;0;0;115;130;-15;;1.04.05.20;kg;1;15;0;120
713;0;385;450;90;745;200;545;;1.04.05.05;kg;1;545;0;300
714;0;0;0;0;0;0;0;;2.01.01.90;kg;1,03;0;0;0
715;0;404;150;28;526;200;326;;1.04.02.14;kg;1;326;0;120
718;0;30;450;95;385;120;265;;1.04.05.02;kg;1;265;0;120
719;0;250;150;35;365;150;215;;1.04.05.29;kg;0,001;0,215;0;120
720;0;385;150;145;390;500;-110;;1.04.05.14;kg;1;110;0;120
722;0;3.250,00;1.200,00;1.725,00;2.725,00;775;1.950,00;;1.04.25.14;kg;1;1,95;0;600
723;0;16;0;1;15;110;-95;;1.04.99.14;kg;1;95;0;10
725;0;85;0;15;70;140;-70;;1.04.05.21;kg;1;70;0;120
727;0;550;600;65;1.085,00;300;785;;1.04.05.03;kg;1;785;0;120
730;0;0;0;0;0;0;0;;1.04.25.40;kg;1;0;0;0
732;0;0;0;0;0;0;0;;2.01.11.05;kg;0;0;0;0
735;0;0;0;0;0;50;-50;;1.04.05.16;kg;1;50;0;120
736;0;20;300;60;260;200;60;;1.04.05.26;kg;1;60;0;120
737;0;0;0;0;0;0;0;;2.01.12.03;kg;0;0;0;0
738;0;0;0;0;0;0;0;;2.01.11.06;kg;0;0;0;0
739;0;0;0;0;0;0;0;;1.19.14.03;kg;1;0;0;0
740;0;0;0;0;0;0;0;;2.10.10.11;kg;1,03;0;0;0
741;0;0;0;0;0;0;0;;2.01.01.94;kg;0;0;0;0
742;0;0;0;0;0;0;0;;2.01.01.93;kg;1,03;0;0;0
743;0;1.498,00;2.998,00;980;3.516,00;0;3.516,00;;1.05.12.23;kg;1;3,516;0;0
744;0;0;0;0;0;0;0;;2.01.01.18;kg;0;0;0;0
745;0;348,6;400;220,5;528,1;648;-119,9;;1.08.02.17;kg;1;119;0;400
746;0;0;812;392;420;0;420;;1.13.12.13;kg;1;420;0;0
748;0;2.576,00;8.861,60;0;11.437,60;0;11.437,60;;2.01.01.01;kg;1;11,437;0;0
749;0;0;0;0;0;0;0;;1.22.50.08;kg;1;0;0;0
750;0;944;3.600,00;0;4.544,00;0;4.544,00;;1.05.03.08;kg;1;4,544;0;0
754;0;728;0;126;602;0;602;;1.11.12.10;kg;1;602;0;0
756;0;0;0;0;0;0;0;;2.01.11.08;kg;1,05;0;0;0
759;0;0;0;0;0;0;0;;2.02.01.23;um;1,03;0;0;0
761;0;0;0;0;0;0;0;;2.01.11.16;kg;1,01;0;0;0
764;0;3.225,00;13.481,00;10.150,00;6.556,00;13.500,00;-6.944,00;;1.01.25.05;kg;1;6,944;0;500
766;0;4,6;0;0;4,6;45;-40,4;;1.04.99.06;kg;1;40;0;10
767;0;44,1;240;0;284,1;115,6;168,5;;1.08.02.26;kg;1;168;0;200
770;0;312;0;24;288;0;288;;1.05.04.26;KG;1;288;0;0
771;0;1,4;0;0;1,4;0;1,4;;1.05.99.23;KG;1;1;0;0
772;0;140,7;0;0;140,7;0;140,7;;1.05.02.19;KG;1;140;0;0
773;0;506,1;403,2;252;657,3;400;257,3;;1.08.02.07;kg;1;257;0;403,2
774;0;6,4;0;0;6,4;0;6,4;;1.22.99.19;KG;1;6;0;0
775;0;56,7;231;67,2;220,5;300;-79,5;;1.08.02.06;kg;1;79;0;231
776;0;9;0;0;9;45;-36;;1.08.99.06;kg;1;36;0;12,6
777;0;464;4.800,00;592;4.672,00;0;4.672,00;;1.13.02.17;KG;1;4,672;0;0
778;0;405,3;0;50,4;354,9;300;54,9;;1.08.02.08;kg;1;54;0;403,2
779;0;11,2;0;0;11,2;65;-53,8;;1.08.99.08;kg;1;53;0;12,6
780;0;52;0;32;20;0;20;;1.04.02.48;KG;1;20;0;0
781;0;305;0;50;255;0;255;;1.04.05.41;KG;1;255;0;0
782;0;6;0;0;6;0;6;;1.04.99.42;KG;1;6;0;0
783;0;382;150;40;492;100;392;;1.04.02.29;kg;0,001;0,392;0;120
784;0;174;0;12;162;0;162;;1.04.02.49;KG;1;162;0;0
785;0;595;0;15;580;0;580;;1.04.05.42;KG;1;580;0;0
786;0;5,8;0;0;5,8;0;5,8;;1.04.99.43;KG;1;5;0;0
788;0;7,2;0;5;2,2;25;-22,8;;1.02.99.01;kg;1;22;0;13
789;0;0;0;0;0;0;0;;1.09.12.20;KG;1;0;0;0
790;0;6,4;0;0;6,4;0;6,4;;1.09.99.17;KG;1;6;0;0
791;0;1.332,00;4.800,00;204;5.928,00;0;5.928,00;;1.11.05.10;KG;1;5,928;0;0
792;0;2.548,00;3.600,00;2.492,00;3.656,00;0;3.656,00;;1.11.12.07;KG;1;3,656;0;0
793;0;18;0;3;15;0;15;;1.11.99.07;KG;1;15;0;0
794;0;9,6;14;0;23,6;0;23,6;;1.11.99.08;KG;1;23;0;0
795;0;1.680,00;4.200,00;1.652,00;4.228,00;0;4.228,00;;1.11.12.08;KG;1;4,228;0;0
796;0;760;2.733,00;240;3.253,00;0;3.253,00;;1.11.05.11;KG;1;3,253;0;0
797;0;216,3;0;18,9;197,4;0;197,4;;1.08.02.36;KG;1;197;0;0
798;0;4.000,00;6.000,00;675;9.325,00;0;9.325,00;;1.02.25.07;kg;1;9,325;0;300
799;0;2,2;0;0;2,2;0;2,2;;1.08.99.32;KG;1;2;0;0
800;0;193,2;0;8,4;184,8;0;184,8;;1.05.02.20;KG;1;184;0;0
801;0;0;0;0;0;0;0;;1.15.02.02;kg;1;0;0;0
803;0;1.400,00;2.400,00;344;3.456,00;0;3.456,00;;1.05.04.27;KG;1;3,456;0;0
805;0;27,7;0;2;25,7;0;25,7;;1.05.99.24;KG;1;25;0;0
806;0;0;0;0;0;0;0;;1.01.25.21;kg;1;0;0;496
807;0;0;0;0;0;0;0;;1.01.25.22;kg;1;0;0;304
808;0;6;0;0;6;0;6;;1.22.99.20;KG;1;6;0;0
809;0;0;0;0;0;0;0;;1.02.25.08;kg;1;0;0;300
810;0;407,4;0;4,2;403,2;0;403,2;;1.22.20.08;KG;1;403;0;0
811;0;8.372,00;0;0;8.372,00;0;8.372,00;;1.11.12.09;kg;1;8,372;0;0
812;0;0;0;0;0;0;0;;2.01.14.02;kg;0;0;0;0
815;0;0;0;0;0;45;-45;;1.08.99.09;kg;1;45;0;12,6
816;0;1.064,00;1.200,00;70;2.194,00;0;2.194,00;;1.05.12.26;kg;1;2,194;0;0
817;0;0;48;0;48;0;48;;1.08.02.28;kg;1;48;0;0
818;0;1.692,00;1.200,00;296;2.596,00;0;2.596,00;;1.05.04.28;kg;1;2,596;0;0
819;0;3,4;0;0;3,4;0;3,4;;1.08.99.01;kg;1;3;0;12,6
820;0;5,4;0;2;3,4;0;3,4;;1.05.99.25;kg;1;3;0;0
821;0;1.716,00;2.400,00;4;4.112,00;0;4.112,00;;1.13.02.15;kg;1;4,112;0;0
822;0;21,8;0;2;19,8;0;19,8;;1.22.99.22;kg;1;19;0;0
823;0;1.392,00;2.400,00;132;3.660,00;0;3.660,00;;1.13.02.16;kg;1;3,66;0;0
